|GNB|2_Premium|LIMA_MODERNA|A|B|Riesgo_Bajo|LIMA_SUR|Antiguedad_SSFF|NroTrxAgencia|1_Beyond|Frescura|NroTrxATM|SBP|Can_Contactabilidad_3UM|3_Preferente|SaldoHIP|D|Superior|SaldoVEH|DIVORCIADO|ImporteTrxWeb|ImporteTrxCorresponsal|M|MontoOfertado|Edad|class
138|0|0|0|0|0|0|0|8.0|0.0|1|1.0|10.0|0|0.0|0|0.0|0|0|0.0|0|7962.16|7199.75|0|12150.0|39.0|1.0
139|0|0|0|0|0|0|0|6.0|9.0|0|4.0|10.0|0|0.0|0|0.0|1|1|0.0|1|0.0|0.0|0|10000.0|46.0|0.0
140|0|0|0|0|0|1|0|8.0|6.0|1|0.0|9.0|0|0.0|0|620412.73|0|1|0.0|0|3529.71|5098.37|0|18000.0|58.0|1.0
141|0|0|0|0|0|0|0|9.0|0.0|0|2.0|7.0|0|0.0|0|0.0|0|0|0.0|1|0.0|906.57|1|1000.0|32.0|0.0
142|0|0|0|1|0|1|0|33.0|8.0|0|0.0|8.0|0|3.0|0|0.0|0|1|0.0|0|0.0|0.0|1|18000.0|43.0|0.0
143|0|1|0|0|0|0|0|9.0|0.0|0|1.0|10.0|0|0.0|0|0.0|1|0|0.0|1|0.0|5715.04|1|8000.0|40.0|1.0
144|0|0|1|0|0|1|0|17.0|4.0|0|3.0|7.0|0|3.0|0|0.0|0|1|0.0|0|0.0|1157.09|0|15000.0|37.0|0.0
145|0|0|0|0|0|0|0|3.0|7.0|0|4.0|9.0|0|0.0|0|0.0|0|0|0.0|0|0.0|7877.599500000002|1|4000.0|33.0|1.0
146|0|1|0|0|0|0|0|2.0|6.0|0|3.0|9.0|0|0.0|0|0.0|0|0|0.0|0|763.94|0.0|0|14000.0|53.0|0.0
147|1|0|0|0|0|1|0|23.0|4.0|0|1.0|8.0|0|0.0|1|0.0|0|0|0.0|0|0.0|0.0|1|19900.0|39.0|1.0
148|0|0|0|0|0|0|0|1.0|5.0|0|4.0|9.0|1|0.0|1|0.0|0|0|0.0|1|0.0|653.56|1|4000.0|42.0|0.0
149|0|0|1|0|0|0|0|6.0|5.0|0|4.0|8.0|0|0.0|1|314667.26|0|0|0.0|0|0.0|0.0|1|4500.0|26.0|1.0
150|1|0|0|0|0|0|0|8.0|0.0|0|2.0|6.0|0|0.0|0|0.0|0|1|0.0|0|806.71|531.43|0|3550.0|32.0|0.0
151|1|0|0|0|0|0|0|2.0|5.0|0|4.0|9.0|0|0.0|0|0.0|0|0|0.0|0|0.0|398.07|1|4150.0|43.0|0.0
152|0|0|0|1|0|1|0|21.0|6.0|1|3.0|8.0|0|2.0|0|0.0|0|0|0.0|0|0.0|921.84|0|18000.0|53.0|1.0
153|0|1|0|0|1|0|0|21.0|0.0|0|1.0|10.0|0|0.0|0|0.0|0|1|0.0|0|2046.35|7362.47|1|9050.0|36.0|0.0
154|0|0|0|0|0|0|0|7.0|7.0|0|2.0|7.0|0|2.0|0|0.0|1|1|0.0|0|3033.81|0.0|1|14000.0|47.0|0.0
